Q1-Location,Q2-Price,Rooms,0,Bathrooms,Car Parks,Q6-Property Type,Q8-Furnishing
15,285,1,0,2,1,11,1
29,310,4,1,5,5,42,2
29,311,3,1,5,4,13,2
1,61,2,1,2,1,11,1
24,177,2,1,3,1,16,1
10,180,5,0,6,5,43,2
5,4,4,1,3,3,3,2
5,96,4,1,4,4,3,2
14,71,2,1,2,2,1,2
5,4,3,0,2,2,1,2
22,236,3,0,,2,11,3
14,80,3,0,3,2,1,2
23,13,5,0,6,4,8,2
2,312,7,1,9,6,10,2
18,313,1,0,1,,17,2
5,145,4,1,5,3,3,2
11,115,3,0,2,,12,2
32,198,3,1,4,3,3,2
32,90,3,0,2,1,7,2
41,116,2,0,2,1,12,2
11,314,4,2,6,3,3,2
12,35,4,1,6,,44,2
12,200,7,1,9,,23,2
4,315,3,0,2,1,11,2
15,316,3,1,4,3,3,2
30,317,5,1,5,5,12,2
1,61,1,0,1,1,12,2
11,318,1,0,1,1,1,1
12,319,3,1,5,4,19,2
1,15,1,0,1,1,1,1
1,114,2,1,2,1,12,2
12,320,4,1,3,,18,2
12,321,3,1,4,,7,2
1,61,1,0,1,1,15,2
1,19,2,0,2,1,11,1
2,307,7,0,7,6,2,1
12,178,4,1,4,3,5,2
12,38,3,0,2,2,3,2
1,322,2,0,2,1,11,1
1,15,1,0,1,1,1,1
12,237,3,1,5,,7,2
12,23,3,1,3,2,7,
1,32,3,1,5,2,16,2
25,4,3,0,3,1,11,1
15,323,2,1,3,2,14,2
23,235,4,1,3,,7,3
13,97,2,0,1,,1,
11,43,3,1,4,2,12,2
25,324,2,0,3,,16,2
22,190,3,1,2,2,12,
11,19,3,1,4,2,12,2
11,116,3,0,2,2,12,2
11,48,3,1,4,2,12,2
5,259,4,1,3,2,12,2
1,325,2,0,2,1,14,2
1,326,3,0,2,2,14,2
1,327,1,0,1,2,11,2
1,32,3,1,5,2,16,2
1,328,4,0,5,4,24,1
1,23,3,1,4,2,1,1
1,329,3,1,5,2,3,1
1,294,3,2,5,,16,1
1,330,2,1,3,1,16,2
23,307,8,0,7,,8,2
1,200,3,1,4,2,16,1
11,108,3,0,2,2,12,2
1,331,1,0,1,1,1,1
1,1,1,0,1,1,16,1
1,23,1,1,2,1,1,2
11,332,3,1,4,3,3,2
1,333,4,1,5,,3,1
38,334,5,0,3,8,4,1
23,335,5,1,6,4,2,2
15,126,3,0,2,,1,2
11,336,3,1,4,2,14,2
21,94,3,0,2,1,12,1
15,337,5,1,6,6,12,
23,18,3,0,2,2,35,1
1,114,1,1,2,1,11,1
23,109,4,1,3,4,5,2
11,338,4,1,6,3,3,1
11,213,1,0,1,1,11,1
1,295,1,1,2,1,1,1
22,339,2,0,2,2,16,2
4,340,2,0,2,1,14,1
4,341,4,0,3,2,7,2
1,61,1,0,1,1,12,2
34,13,5,1,6,,2,2
34,192,7,1,8,,2,2
34,342,7,1,8,,2,2
8,27,5,0,5,6,9,2
41,41,1,0,1,1,12,2
27,134,3,1,3,2,14,2
5,343,4,1,3,4,3,2
12,344,8,0,6,,34,2
12,345,4,1,5,,13,2
1,168,2,0,2,1,14,2
11,346,4,1,5,3,3,2
12,51,5,1,4,,13,2
11,15,3,1,4,2,3,2
1,74,1,0,1,1,14,1
5,71,3,0,,2,3,2
4,129,3,1,2,1,14,3
12,106,3,1,4,,7,2
1,347,2,0,2,1,12,1
1,152,4,1,6,2,24,
15,348,3,1,2,2,11,3
12,349,4,1,4,,5,2
15,30,3,1,4,4,14,3
15,78,3,2,4,3,14,1
1,61,2,2,3,2,1,1
16,108,4,1,5,4,4,3
15,350,2,1,3,2,14,2
6,74,3,0,2,2,26,2
1,18,1,1,2,1,1,2
1,12,2,0,2,2,16,2
23,109,5,2,3,4,5,2
1,351,2,0,2,1,1,1
11,352,2,0,2,1,1,2
11,38,2,0,2,1,1,2
11,108,2,0,2,1,1,1
2,353,5,0,4,6,2,
14,354,3,0,2,2,3,2
32,355,2,1,2,1,14,3
1,74,1,0,1,1,15,2
1,154,1,0,1,1,12,2
18,356,1,0,1,1,16,1
11,19,3,1,4,2,14,2
1,183,1,0,1,1,11,1
1,61,1,0,1,1,14,2
11,284,3,1,4,2,3,2
22,325,4,1,5,,12,3
11,178,4,1,5,3,12,1
11,147,4,0,4,2,12,
11,145,3,1,4,,12,
2,6,3,1,4,2,1,2
1,32,3,1,4,2,16,3
2,123,1,0,1,1,1,2
1,61,1,0,1,1,12,2
1,130,3,0,3,3,1,2
4,357,3,0,2,2,12,3
2,125,6,1,6,4,2,2
1,358,1,1,2,1,3,2
23,359,5,1,6,4,10,2
10,162,7,1,8,6,10,2
34,162,5,2,7,5,10,1
41,360,1,1,1,1,12,2
41,4,1,0,1,1,12,1
16,361,3,0,2,1,12,1
12,362,3,0,2,2,14,2
12,363,4,1,5,4,13,3
2,353,4,1,4,6,10,2
11,259,2,0,2,1,1,
1,115,1,0,1,2,1,2
5,40,4,1,,,12,
11,364,1,0,1,,1,2
32,365,4,1,5,3,3,2
11,147,3,1,4,2,12,2
1,1,2,0,2,1,12,2
15,366,3,1,2,2,1,3
12,23,3,1,3,,7,2
16,107,6,0,6,4,4,
11,238,5,1,8,5,13,3
21,367,2,0,2,2,1,2
11,48,3,2,4,2,3,2
12,93,4,1,4,3,7,2
12,24,5,0,5,4,8,2
12,368,7,1,6,4,41,2
11,369,3,0,2,2,3,1
6,19,3,0,2,2,26,1
14,77,4,1,6,6,34,2
5,66,4,1,3,2,12,2
1,61,1,0,1,1,15,2
2,370,4,2,4,3,17,2
5,4,4,1,3,2,3,2
5,96,4,1,3,4,3,2
15,371,4,0,2,2,15,2
6,78,4,0,3,,7,2
6,5,5,2,4,,8,2
12,372,4,1,6,4,13,1
12,147,5,1,4,,39,2
1,19,2,0,2,1,12,1
11,10,3,1,4,,3,2
21,38,2,2,1,,12,1
21,17,3,1,3,,3,2
23,373,4,1,3,3,5,2
4,374,3,0,2,1,14,1
32,231,3,0,3,2,12,2
11,260,5,0,5,,14,1
2,95,4,0,3,3,19,2
2,54,5,0,4,4,4,2
2,161,7,0,6,6,2,
12,27,6,0,5,5,37,2
12,106,5,1,6,2,18,1
12,145,3,1,3,2,7,
5,4,4,1,3,3,3,2
1,1,1,1,1,1,16,1
5,74,4,1,3,4,3,2
6,195,5,0,4,,2,2
4,41,1,0,1,1,6,1
1,79,2,0,2,2,3,1
2,260,3,1,4,3,1,2
20,194,4,0,2,2,1,2
11,375,4,1,4,3,3,2
2,192,6,0,7,,2,
1,108,2,1,2,,16,1
11,258,4,1,6,3,12,2
14,79,6,0,5,2,13,1
6,17,4,0,3,3,7,2
5,40,4,1,4,2,12,2
4,266,1,0,1,1,11,2
1,27,2,0,2,1,11,1
28,376,7,0,8,6,10,1
1,1,1,0,1,1,1,1
5,37,4,1,3,,12,
11,19,3,1,4,2,3,2
5,377,4,1,3,3,3,2
3,38,2,0,2,1,1,1
11,53,1,0,1,1,1,
11,234,1,0,1,1,45,
2,378,,,,3,4,2
23,107,4,1,3,2,7,2
2,379,4,2,4,4,4,2
1,380,1,0,2,1,1,2
11,108,3,1,3,2,12,2
5,202,6,1,7,5,8,2
16,381,3,0,2,2,15,2
1,70,1,1,1,,1,1
5,248,4,1,3,2,14,2
5,108,4,1,4,4,3,2
15,98,2,0,2,1,1,
11,382,4,0,4,2,3,2
16,383,4,0,2,2,14,3
